Designation,Name,Location,Total_applicants,LinkedIn_Followers,Level,Involvement,Employee_count,Industry,technical_skills,PYTHON,C++,JAVA,HADOOP,SCALA,FLASK,PANDAS,SPARK,NUMPY,PHP,SQL,MYSQL,CSS,MONGODB,NLTK,TENSORFLOW,LINUX,RUBY,JAVASCRIPT,DJANGO,REACT,REACTJS,AI,UI,TABLEAU,NODEJS,EXCEL,POWER BI,SELENIUM,HTML,ML
Fusion Finance Architect,LTIMindtree, West Bengal,2,270280,Full-time , Mid-Senior level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Project Lead,IDESLABS PRIVATE LIMITED, Telangana,11,80867,Full-time , Mid-Senior level,1200, IT Services and IT Consulting,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Oracle EPBCS (Enterprise Planning and Budgeting Cloud Service),LTIMindtree, Karnataka,0,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oracle EPBCS (Enterprise Planning and Budgeting Cloud Service),LTIMindtree, West Bengal,1,270280,Full-time , Entry level,10001, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artificial Intelligence Engineer - WFH,Uplers, Maharashtra,19,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
Dotnet Developer- WFH,Uplers, Maharashtra,22,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Dotnet Developer- WFH,Uplers, Delhi,36,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Dotnet Developer- WFH,Uplers, Karnataka,25,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Full Stack Developer,Uplers, Rajasthan,23,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
Dotnet Developer- WFH,Uplers, Maharashtra,24,793020,Full-time , Mid-Senior level,5000, IT Services and IT Consulting,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
